player_id,full_name,emery_shots,emery_goals,emery_xg,emery_matches_with_shot,emery_goals_minus_xg,emery_goals_minus_xg_per_shot,not_emery_shots,not_emery_goals,not_emery_xg,not_emery_matches_with_shot,not_emery_goals_minus_xg,not_emery_goals_minus_xg_per_shot
16aa3654,Takefusa Kubo,14,1,2.21,11,-1.21,-0.08642857142857142,322.0,29.0,21.22,156.0,7.780000000000001,0.024161490683229817
e3a5814e,Ainsley Maitland-Niles,15,2,2.2,12,-0.20000000000000018,-0.013333333333333345,85.0,2.0,10.23,60.0,-8.23,-0.09682352941176471
116c35df,Donyell Malen,15,3,2.19,11,0.81,0.054000000000000006,302.0,45.0,41.0,114.0,4.0,0.013245033112582781
881ef58c,Javier Pastore,27,4,2.17,17,1.83,0.06777777777777778,53.0,3.0,5.68,28.0,-2.6799999999999997,-0.05056603773584905
4bd414c1,Raúl Albiol,19,2,2.11,19,-0.10999999999999988,-0.00578947368421052,50.0,5.0,4.75,45.0,0.25,0.005
16e9d0ea,Álex Moreno,22,3,2.09,14,0.9100000000000001,0.04136363636363637,106.0,6.0,9.89,72.0,-3.8900000000000006,-0.03669811320754718
8397a50c,Tyrone Mings,17,1,2.06,14,-1.06,-0.06235294117647059,50.0,5.0,4.47,35.0,0.5300000000000002,0.010600000000000005
07802f7f,Danny Ings,6,3,2.02,3,0.98,0.16333333333333333,332.0,57.0,54.25,145.0,2.75,0.008283132530120483
6c7762c3,Juan Foyth,16,2,1.9400000000000002,15,0.05999999999999983,0.0037499999999999895,42.0,4.0,4.66,29.0,-0.6600000000000001,-0.01571428571428572
2b622f01,Lucas Moura,3,1,1.87,2,-0.8700000000000001,-0.29000000000000004,220.0,31.0,24.9,110.0,6.100000000000001,0.027727272727272732
d4cb83cc,Nacho Monreal,13,1,1.82,11,-0.8200000000000001,-0.06307692307692309,68.0,10.0,8.83,47.0,1.17,0.017205882352941175
a6951bf8,Francis Coquelin,21,5,1.81,17,3.19,0.1519047619047619,49.0,2.0,3.4,40.0,-1.4,-0.02857142857142857
c9e99e49,Dani Alves,32,3,1.81,18,1.19,0.0371875,37.0,2.0,2.27,22.0,-0.27,-0.007297297297297297
3a24769f,Ross Barkley,17,4,1.79,14,2.21,0.13,264.0,19.0,23.01,121.0,-4.010000000000002,-0.015189393939393945
8794e251,Adrien Rabiot,27,2,1.77,19,0.22999999999999998,0.008518518518518517,255.0,33.0,28.48,149.0,4.52,0.01772549019607843
c0617e2b,Dani Ceballos,13,1,1.77,8,-0.77,-0.05923076923076923,105.0,6.0,6.85,66.0,-0.8499999999999996,-0.008095238095238091
bc7dc64d,Bukayo Saka,15,1,1.74,8,-0.74,-0.04933333333333333,495.0,67.0,60.22,182.0,6.780000000000001,0.013696969696969699
5ea8ef20,Mattéo Guendouzi,32,1,1.69,22,-0.69,-0.0215625,185.0,14.0,14.88,118.0,-0.8800000000000008,-0.0047567567567567606
cc77354e,Boubacar Kamara,22,1,1.66,21,-0.6599999999999999,-0.029999999999999995,83.0,3.0,4.61,63.0,-1.6100000000000003,-0.019397590361445786
aef6e670,Presnel Kimpembe,13,0,1.5899999999999999,8,-1.5899999999999999,-0.1223076923076923,28.0,2.0,4.12,26.0,-2.12,-0.07571428571428572
cab9634e,Ian Maatsen,24,2,1.48,15,0.52,0.021666666666666667,20.0,3.0,1.93,17.0,1.07,0.053500000000000006
f5efb153,Laurent Koscielny,6,3,1.46,5,1.54,0.25666666666666665,21.0,2.0,4.42,20.0,-2.42,-0.11523809523809524
d5f2f82b,Marquinhos,17,0,1.44,15,-1.44,-0.08470588235294117,120.0,24.0,19.09,94.0,4.91,0.04091666666666667
d38fdf53,Pervis Estupiñán,26,0,1.3,22,-1.3,-0.05,90.0,5.0,5.48,62.0,-0.4800000000000004,-0.005333333333333338
fb5d47b3,Mario Gaspar,20,0,1.25,16,-1.25,-0.0625,77.0,3.0,4.67,50.0,-1.67,-0.021688311688311687
1f079188,Rubén Peña,11,1,1.1300000000000001,7,-0.13000000000000012,-0.011818181818181828,79.0,4.0,5.15,60.0,-1.1500000000000004,-0.01455696202531646
89cbc961,Ramiro Funes Mori,5,0,1.09,4,-1.09,-0.21800000000000003,37.0,2.0,2.97,22.0,-0.9700000000000002,-0.026216216216216223
ad1ffcfd,Vicente Iborra,15,0,1.07,12,-1.07,-0.07133333333333333,65.0,8.0,9.27,42.0,-1.2699999999999996,-0.019538461538461532
c0e27d1a,David Luiz,10,2,1.06,8,0.94,0.094,95.0,7.0,6.79,59.0,0.20999999999999996,0.002210526315789473
f874dd44,Héctor Bellerín,20,0,1.06,14,-1.06,-0.053000000000000005,76.0,5.0,5.67,62.0,-0.6699999999999999,-0.00881578947368421
3935e52e,Sead Kolašinac,19,0,1.05,15,-1.05,-0.05526315789473685,86.0,11.0,11.67,68.0,-0.6699999999999999,-0.0077906976744186035
d79a8c87,Rob Holding,6,0,1.04,5,-1.04,-0.17333333333333334,38.0,4.0,4.04,29.0,-0.040000000000000036,-0.0010526315789473693
86e7deaf,Thiago Silva,13,1,1.02,11,-0.020000000000000018,-0.0015384615384615398,99.0,8.0,7.68,71.0,0.3200000000000003,0.0032323232323232354
4f28a6ff,Clément Lenglet,10,0,0.96,8,-0.96,-0.096,95.0,12.0,13.05,78.0,-1.0500000000000007,-0.011052631578947376
5c2b4f07,Serge Aurier,12,0,0.85,9,-0.85,-0.07083333333333333,70.0,7.0,3.85,52.0,3.15,0.045
e162b013,Thomas Meunier,11,4,0.8200000000000001,9,3.1799999999999997,0.28909090909090907,116.0,10.0,9.82,82.0,0.17999999999999972,0.001551724137931032
dc6f5bdd,Calum Chambers,12,1,0.8,8,0.19999999999999996,0.016666666666666663,71.0,3.0,5.05,41.0,-2.05,-0.028873239436619715
5a7301ae,Leander Dendoncker,3,1,0.76,3,0.24,0.08,112.0,10.0,12.790000000000001,71.0,-2.790000000000001,-0.024910714285714293
8eec784d,Timothy Weah,2,0,0.72,2,-0.72,-0.36,142.0,15.0,16.53,88.0,-1.5300000000000011,-0.010774647887323952
c47541e0,Bertrand Traoré,9,2,0.71,5,1.29,0.14333333333333334,346.0,39.0,35.17,144.0,3.8299999999999983,0.011069364161849705
808d48f3,Jaume Costa,7,0,0.7,5,-0.7,-0.09999999999999999,61.0,1.0,3.73,46.0,-2.73,-0.04475409836065574
57ef0d97,Thiago Motta,8,1,0.57,7,0.43000000000000005,0.053750000000000006,,,,,,
47a34c4f,Mohamed Elneny,9,0,0.5599999999999999,8,-0.5599999999999999,-0.062222222222222213,47.0,4.0,1.71,36.0,2.29,0.04872340425531915
0ef89a37,Philippe Coutinho,8,1,0.52,6,0.48,0.06,419.0,49.0,43.7,152.0,5.299999999999997,0.01264916467780429
19f4d211,Jaden Philogene Bidace,8,0,0.51,7,-0.51,-0.06375,12.0,2.0,2.06,4.0,-0.06000000000000005,-0.0050000000000000044
b6e50615,Yuri Berchiche,11,2,0.48000000000000004,10,1.52,0.13818181818181818,164.0,11.0,7.47,103.0,3.5300000000000002,0.02152439024390244
1467af0d,Marco Verratti,11,2,0.48,10,1.52,0.13818181818181818,38.0,2.0,3.5100000000000002,31.0,-1.5100000000000002,-0.03973684210526316
a53649b7,Eddie Nketiah,7,1,0.46,4,0.54,0.07714285714285715,228.0,27.0,36.63,99.0,-9.630000000000003,-0.04223684210526317
0abc51f2,Jorge Cuenca,3,0,0.38,2,-0.38,-0.12666666666666668,45.0,4.0,2.7800000000000002,31.0,1.2199999999999998,0.027111111111111107
c5bdb6e3,Reiss Nelson,8,0,0.37,4,-0.37,-0.04625,107.0,15.0,12.0,63.0,3.0,0.028037383177570093
ea6a7ab4,Dani Raba,6,0,0.33,4,-0.33,-0.055,71.0,12.0,10.780000000000001,45.0,1.2199999999999989,0.01718309859154928
be927d03,Ashley Young,10,0,0.32,8,-0.32,-0.032,107.0,12.0,5.5600000000000005,79.0,6.4399999999999995,0.06018691588785046
99b1d0e6,Stephan Lichtsteiner,6,0,0.17,4,-0.17,-0.028333333333333335,6.0,0.0,0.9,5.0,-0.9,-0.15
00963611,Konstantinos Mavropanos,2,0,0.12000000000000001,1,-0.12000000000000001,-0.060000000000000005,134.0,7.0,11.74,81.0,-4.74,-0.03537313432835821
ad82197c,Axel Disasi,3,0,0.1,3,-0.1,-0.03333333333333333,113.0,16.0,15.11,81.0,0.8900000000000006,0.00787610619469027
608f2092,Johan Mojica,3,0,0.09,3,-0.09,-0.03,89.0,3.0,4.26,66.0,-1.2599999999999998,-0.014157303370786514
9fec8860,Ludwig Augustinsson,2,0,0.08,1,-0.08,-0.04,76.0,3.0,4.4,52.0,-1.4000000000000004,-0.018421052631578953
fce2302c,Kieran Tierney,2,0,0.08,2,-0.08,-0.04,68.0,7.0,3.46,48.0,3.54,0.05205882352941177
874125a3,Carl Jenkinson,2,0,0.07,2,-0.07,-0.035,,,,,,
aa888da7,Omari Kellyman,1,0,0.07,1,-0.07,-0.07,,,,,,
37f04799,Sofian Chakla,1,0,0.06,1,-0.06,-0.06,4.0,0.0,0.32,4.0,-0.32,-0.08
a0255c67,Manu Morlanes,1,0,0.06,1,-0.06,-0.06,48.0,4.0,2.94,38.0,1.06,0.022083333333333333
40498af1,Andrés García,2,0,0.05,1,-0.05,-0.025,,,,,,
bca5c4a7,Lamare Bogarde,1,0,0.04,1,-0.04,-0.04,,,,,,
5932c94a,Adrián de la Fuente,1,0,0.02,1,-0.02,-0.02,,,,,,
