Date,Team,Country
1941-08-15,Atletico,ESP
1941-08-16,Atletico,ESP
1941-08-17,Atletico,ESP
1941-08-18,Atletico,ESP
1941-08-19,Atletico,ESP
1941-08-20,Atletico,ESP
1941-08-21,Atletico,ESP
1941-08-22,Atletico,ESP
1941-08-23,Atletico,ESP
1941-08-24,Atletico,ESP
1941-08-25,Atletico,ESP
1941-08-26,Atletico,ESP
1941-08-27,Atletico,ESP
1941-08-28,Atletico,ESP
1941-08-29,Atletico,ESP
1941-08-30,Atletico,ESP
1941-08-31,Atletico,ESP
1941-09-01,Atletico,ESP
1941-09-02,Atletico,ESP
1941-09-03,Atletico,ESP
1941-09-04,Atletico,ESP
1941-09-05,Atletico,ESP
1941-09-06,Atletico,ESP
1941-09-07,Atletico,ESP
1941-09-08,Atletico,ESP
1941-09-09,Atletico,ESP
1941-09-10,Atletico,ESP
1941-09-11,Atletico,ESP
1941-09-12,Atletico,ESP
1941-09-13,Atletico,ESP
1941-09-14,Atletico,ESP
1941-09-15,Atletico,ESP
1941-09-16,Atletico,ESP
1941-09-17,Atletico,ESP
1941-09-18,Atletico,ESP
1941-09-19,Atletico,ESP
1941-09-20,Atletico,ESP
1941-09-21,Atletico,ESP
1941-09-22,Atletico,ESP
1941-09-23,Atletico,ESP
1941-09-24,Atletico,ESP
1941-09-25,Atletico,ESP
1941-09-26,Atletico,ESP
1941-09-27,Atletico,ESP
1941-09-28,Atletico,ESP
1941-09-29,Atletico,ESP
1941-09-30,Atletico,ESP
1941-10-01,Atletico,ESP
1941-10-02,Atletico,ESP
1941-10-03,Atletico,ESP
1941-10-04,Atletico,ESP
1941-10-05,Atletico,ESP
1941-10-06,Atletico,ESP
1941-10-07,Atletico,ESP
1941-10-08,Atletico,ESP
1941-10-09,Atletico,ESP
1941-10-10,Atletico,ESP
1941-10-11,Atletico,ESP
1941-10-12,Atletico,ESP
1941-10-13,Atletico,ESP
1941-10-14,Atletico,ESP
1941-10-15,Atletico,ESP
1941-10-16,Atletico,ESP
1941-10-17,Atletico,ESP
1941-10-18,Atletico,ESP
1941-10-19,Atletico,ESP
1941-10-20,Atletico,ESP
1941-10-21,Atletico,ESP
1941-10-22,Atletico,ESP
1941-10-23,Atletico,ESP
1941-10-24,Atletico,ESP
1941-10-25,Atletico,ESP
1941-10-26,Atletico,ESP
1941-10-27,Atletico,ESP
1941-10-28,Atletico,ESP
1941-10-29,Atletico,ESP
1941-10-30,Atletico,ESP
1941-10-31,Atletico,ESP
1941-11-01,Atletico,ESP
1941-11-02,Atletico,ESP
1941-11-03,Atletico,ESP
1941-11-04,Atletico,ESP
1941-11-05,Atletico,ESP
1941-11-06,Atletico,ESP
1941-11-07,Atletico,ESP
1941-11-08,Atletico,ESP
1941-11-09,Atletico,ESP
1941-11-10,Atletico,ESP
1941-11-11,Atletico,ESP
1941-11-12,Atletico,ESP
1941-11-13,Atletico,ESP
1941-11-14,Atletico,ESP
1941-11-15,Atletico,ESP
1941-11-16,Atletico,ESP
1941-11-17,Atletico,ESP
1941-11-18,Atletico,ESP
1941-11-19,Atletico,ESP
1941-11-20,Atletico,ESP
1941-11-21,Atletico,ESP
1941-11-22,Atletico,ESP
1941-11-23,Atletico,ESP
1941-11-24,Atletico,ESP
1941-11-25,Atletico,ESP
1941-11-26,Atletico,ESP
1941-11-27,Atletico,ESP
1941-11-28,Atletico,ESP
1941-11-29,Atletico,ESP
1941-11-30,Atletico,ESP
1941-12-01,Atletico,ESP
1941-12-02,Atletico,ESP
1941-12-03,Atletico,ESP
1941-12-04,Atletico,ESP
1941-12-05,Atletico,ESP
1941-12-06,Atletico,ESP
1941-12-07,Atletico,ESP
1941-12-08,Atletico,ESP
1941-12-09,Atletico,ESP
1941-12-10,Atletico,ESP
1941-12-11,Atletico,ESP
1941-12-12,Atletico,ESP
1941-12-13,Atletico,ESP
1941-12-14,Atletico,ESP
1941-12-15,Atletico,ESP
1941-12-16,Atletico,ESP
1941-12-17,Atletico,ESP
1941-12-18,Atletico,ESP
1941-12-19,Atletico,ESP
1941-12-20,Atletico,ESP
1941-12-21,Atletico,ESP
1941-12-22,Atletico,ESP
1941-12-23,Atletico,ESP
1941-12-24,Atletico,ESP
1941-12-25,Atletico,ESP
1941-12-26,Atletico,ESP
1941-12-27,Atletico,ESP
1941-12-28,Atletico,ESP
1941-12-29,Atletico,ESP
1941-12-30,Atletico,ESP
1941-12-31,Atletico,ESP
1942-01-01,Atletico,ESP
1942-01-02,Atletico,ESP
1942-01-03,Atletico,ESP
1942-01-04,Atletico,ESP
1942-01-05,Atletico,ESP
1942-01-06,Atletico,ESP
1942-01-07,Atletico,ESP
1942-01-08,Atletico,ESP
1942-01-09,Atletico,ESP
1942-01-10,Atletico,ESP
1942-01-11,Atletico,ESP
1942-01-12,Atletico,ESP
1942-01-13,Atletico,ESP
1942-01-14,Atletico,ESP
1942-01-15,Atletico,ESP
1942-01-16,Atletico,ESP
1942-01-17,Atletico,ESP
1942-01-18,Atletico,ESP
1942-01-19,Atletico,ESP
1942-01-20,Atletico,ESP
1942-01-21,Atletico,ESP
1942-01-22,Atletico,ESP
1942-01-23,Atletico,ESP
1942-01-24,Atletico,ESP
1942-01-25,Atletico,ESP
1942-01-26,Atletico,ESP
1942-01-27,Atletico,ESP
1942-01-28,Atletico,ESP
1942-01-29,Atletico,ESP
1942-01-30,Atletico,ESP
1942-01-31,Atletico,ESP
1942-02-01,Atletico,ESP
1942-02-02,Atletico,ESP
